,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Estonia,Greece,Spain,EU27_2020,Finland,France,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Sweden,Slovenia,Slovakia,Turkey
2017-Q1 ,0.2 ,0.7 ,0.6 ,0.0 ,1.8 ,1.6 ,1.2 ,0.7 ,2.1 ,0.0 ,0.8 ,0.8 ,1.0 ,0.6 ,1.3 ,1.4 ,-2.6 ,0.5 ,1.1 ,-1.3 ,1.7 ,6.2 ,0.5 ,1.1 ,1.2 ,1.2 ,3.6 ,0.3 ,0.4 ,2.0 ,0.8 ,1.4 
2017-Q2 ,0.6 ,0.2 ,0.7 ,0.3 ,0.5 ,2.5 ,0.9 ,1.1 ,1.8 ,0.3 ,1.0 ,0.9 ,1.3 ,0.9 ,0.0 ,1.2 ,0.7 ,0.4 ,0.8 ,1.4 ,0.7 ,1.0 ,0.9 ,1.0 ,1.0 ,0.5 ,2.8 ,0.7 ,1.4 ,1.1 ,0.9 ,2.3 
2017-Q3 ,0.7 ,-0.1 ,0.7 ,0.6 ,1.1 ,0.8 ,0.6 ,-0.4 ,0.4 ,1.0 ,0.6 ,0.8 ,0.4 ,0.9 ,1.3 ,0.9 ,5.1 ,0.4 ,1.0 ,1.1 ,0.5 ,2.1 ,0.7 ,0.7 ,1.5 ,0.7 ,1.3 ,1.1 ,0.8 ,0.8 ,0.8 ,1.5 
2017-Q4 ,0.7 ,0.8 ,0.6 ,1.0 ,1.7 ,0.8 ,0.9 ,0.8 ,1.5 ,-0.9 ,0.5 ,0.8 ,0.6 ,0.6 ,0.3 ,1.4 ,4.2 ,0.6 ,1.1 ,0.1 ,0.4 ,0.6 ,0.7 ,-0.6 ,1.4 ,0.8 ,0.6 ,0.5 ,0.2 ,2.1 ,1.2 ,1.9 
2018-Q1 ,0.7 ,0.4 ,0.5 ,1.0 ,2.0 ,0.5 ,-0.6 ,0.5 ,0.7 ,1.4 ,0.4 ,0.2 ,0.3 ,0.0 ,0.1 ,1.8 ,0.7 ,-0.1 ,0.9 ,0.2 ,1.5 ,2.1 ,0.5 ,0.5 ,1.8 ,0.7 ,1.8 ,2.5 ,0.3 ,0.4 ,0.9 ,1.3 
2018-Q2 ,0.2 ,0.5 ,0.9 ,1.1 ,0.5 ,0.6 ,0.8 ,0.5 ,0.8 ,0.2 ,0.6 ,0.6 ,-0.1 ,0.5 ,2.0 ,0.9 ,1.8 ,0.1 ,1.2 ,-0.6 ,1.5 ,2.8 ,0.7 ,0.3 ,1.4 ,0.8 ,1.6 ,1.0 ,1.2 ,1.4 ,1.2 ,0.6 
2018-Q3 ,0.4 ,0.4 ,1.0 ,-0.3 ,1.3 ,0.7 ,-0.9 ,0.6 ,0.9 ,-0.2 ,0.5 ,0.1 ,-0.1 ,0.4 ,0.5 ,1.5 ,0.3 ,0.1 ,0.4 ,0.9 ,1.3 ,2.8 ,0.1 ,0.6 ,1.2 ,0.5 ,2.3 ,0.2 ,-0.9 ,1.2 ,1.0 ,-1.0 
2018-Q4 ,1.3 ,1.0 ,0.9 ,0.2 ,2.3 ,0.8 ,0.9 ,0.5 ,1.2 ,0.8 ,0.7 ,0.7 ,0.0 ,0.5 ,0.5 ,1.0 ,1.5 ,0.3 ,1.5 ,0.4 ,0.5 ,-0.6 ,0.5 ,0.0 ,1.0 ,0.6 ,-0.1 ,0.0 ,1.4 ,0.7 ,0.5 ,-3.4 
2019-Q1 ,0.6 ,0.3 ,1.3 ,0.1 ,0.9 ,0.9 ,0.7,-0.2 ,1.7 ,0.7 ,0.6 ,0.7 ,0.6 ,0.7 ,2.0 ,2.0 ,1.4 ,0.1 ,1.4 ,0.5 ,-1.2 ,2.8 ,0.8 ,-0.4 ,1.4 ,0.9 ,0.0 ,1.5 ,0.4 ,1.6 ,0.8 ,1.6 
2019-Q2 ,-0.5 ,0.6 ,1.1 ,0.5 ,1.4 ,0.7 ,0.0,1.0 ,0.4 ,1.1 ,0.3 ,0.4 ,0.8 ,0.7 ,0.5 ,0.3 ,1.8 ,0.3 ,1.4 ,1.9 ,0.6 ,2.2 ,0.3 ,0.9 ,0.9 ,0.6 ,1.7 ,1.3 ,0.8 ,-0.3 ,0.3 ,2.3 
