Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],,,,,,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6573.81697,6498.529037,5639.398735,6414.725618,7655.848402,,,,,,,
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.344381769,-0.671140196,-6.712495241,1.909280768,4.101065601,,,,,,,
Arab World,ARB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,31869.18039,31621.85052,27266.1781,33656.08422,..,,,,,,,
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.222333042,4.181158003,3.929077744,..,..,,,,,,,
Arab World,ARB,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,502.2036443,498.5369776,..,..,..,,,,,,,
Arab World,ARB,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,610.7462143,582.7067286,..,..,..,,,,,,,
Arab World,ARB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,34.56818182,27.79545455,..,..,..,,,,,,,
Arab World,ARB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.98689965,4.834227582,5.316042936,..,..,,,,,,,
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.226991814,5.198866421,5.6161084,5.750367447,..,,,,,,,
Arab World,ARB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,,,,,,,
Arab World,ARB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,,,,,,,
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.33082316,43.50797074,36.95118482,..,..,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.214770748,1.384676834,1.48414645,1.907471304,1.544659485,,,,,,,
